"id","name","url","thumbnail_image_url","recipe_kind_id","time"
781,"茹でオクラの梅和え","https://chefgohan.gnavi.co.jp/detail/3267/","https://c-chefgohan.gnst.jp/imgdata/recipe/67/32/3267/rc732x546_1505271230_480792139c9709162a5a507607228036.jpg",1,3
1037,"鰤吸い物","https://chefgohan.gnavi.co.jp/detail/1843/","https://c-chefgohan.gnst.jp/imgdata/recipe/43/18/1843/rc732x546_1311120511_9c9b2f47174aecab95719889c17e3ce5.jpg",1,15
1293,"垂水カンパチ千草巻き～コチュジャンポン酢～","https://chefgohan.gnavi.co.jp/detail/4013","https://c-chefgohan.gnst.jp/imgdata/recipe/13/40/4013/rc732x546_1602151314_849192aa9c50c01c2a1d7b90ea3aa24e.jpg",1,15
1549,"島原手延べ素麺 和風チャンプルー","https://chefgohan.gnavi.co.jp/detail/3027","https://c-chefgohan.gnst.jp/imgdata/recipe/27/30/3027/rc732x546_1502250646_dee69e37ef5eacb57ec4784b6da9afa7.jpg",1,15
1805,"大吟醸酒粕のバーニャカウダ","https://chefgohan.gnavi.co.jp/detail/1429","https://c-chefgohan.gnst.jp/imgdata/recipe/29/14/1429/rc732x546_1307310456_5cbf5df512f27f50f1bb20f3ee91a4d1.jpg",1,30
2061,"ナスの棒寿司","https://chefgohan.gnavi.co.jp/detail/383","https://c-chefgohan.gnst.jp/imgdata/recipe/83/03/383/rc732x546_1209161051_4000d73b381a1cdbc09030c7a8f9b4e3.jpg",1,15
14,"一口ブリ大根","https://chefgohan.gnavi.co.jp/detail/153","https://c-chefgohan.gnst.jp/imgdata/recipe/53/01/153/rc732x546_1701131626_060a10d482df31ba8ace68ed1a270c14.jpg",1,180
526,"春きゃべつと和牛しぐれの土鍋ご飯","https://chefgohan.gnavi.co.jp/detail/4185/","https://c-chefgohan.gnst.jp/imgdata/recipe/85/41/4185/rc732x546_1604131736_03bab8001df957496ddf42341774cb3e.jpg",1,30
782,"お好み野菜と豆腐の赤蕪ソースサラダ","https://chefgohan.gnavi.co.jp/detail/3264/","https://c-chefgohan.gnst.jp/imgdata/recipe/64/32/3264/rc732x546_1505250321_60fec77d49d4b45635c0f5d2a0aa09aa.jpg",1,20
1038,"アジの翡翠和え","https://chefgohan.gnavi.co.jp/detail/1818/","https://c-chefgohan.gnst.jp/imgdata/recipe/18/18/1818/rc732x546_1311071121_4dd1b38cce4b06d8b1fbcfa8b24ccf98.jpg",1,20
1294,"乙女鍋（おとめ苺）","https://chefgohan.gnavi.co.jp/detail/4009","https://c-chefgohan.gnst.jp/imgdata/recipe/09/40/4009/rc732x546_1602121908_9315b3e33baca807f49859f133f08f7c.jpg",1,20
1550,"五島手延べ うどん入り餡掛け茶碗蒸し","https://chefgohan.gnavi.co.jp/detail/3021","https://c-chefgohan.gnst.jp/imgdata/recipe/21/30/3021/rc732x546_1502250406_ae363cfcf51e9f24efb24a2c77e9e430.jpg",1,20
